,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2000-03-03,1296.79,1299.51,1332.71,1268.31,24400.0,276159.0,0.98,49.67,4.74,613.91,0.3,10.48
2000-03-06,1309.49,1241.84,1332.36,1232.56,21861.0,259632.0,-4.44,47.46,4.52,586.63,0.31,10.5
2000-03-07,1227.05,1263.4,1276.18,1208.52,16357.0,181186.0,1.74,48.37,4.62,596.63,0.3,10.47
2000-03-08,1266.16,1284.37,1304.3,1241.85,14556.0,173541.0,1.66,49.23,4.7,606.84,0.3,10.47
2000-03-09,1286.37,1287.81,1318.96,1259.44,17090.0,205223.0,0.27,49.27,4.71,608.34,0.29,10.46
2000-03-10,1287.97,1262.49,1313.38,1247.88,15040.0,178493.0,-1.97,48.28,4.62,596.56,0.3,10.45
2000-03-13,1258.33,1282.28,1299.85,1241.99,12661.0,142795.0,1.57,49.02,4.69,605.88,0.29,10.45
2000-03-14,1260.63,1249.1,1282.49,1206.22,16354.0,182789.0,-2.59,47.74,4.55,592.38,0.3,10.49
2000-03-15,1247.25,1260.48,1291.06,1231.94,12526.0,154565.0,0.91,48.03,4.58,597.87,0.3,10.49
2000-03-16,1253.51,1203.36,1263.8,1191.07,12880.0,162498.0,-4.53,46.48,4.34,587.37,0.31,10.71
2000-03-17,1199.36,1240.69,1253.47,1190.32,12728.0,167711.0,3.1,47.92,4.49,605.46,0.3,10.67
2000-03-20,1226.56,1280.26,1290.83,1210.18,14994.0,205179.0,3.19,49.48,4.68,626.46,0.28,10.57
2000-03-21,1287.62,1297.75,1325.17,1257.68,17915.0,251717.0,1.37,50.17,4.75,635.38,0.28,10.56
2000-03-22,1300.83,1296.96,1327.67,1268.86,13605.0,186488.0,-0.06,50.08,4.73,635.58,0.28,10.59
2000-03-23,1301.6,1318.16,1333.54,1279.08,13835.0,188380.0,1.63,50.85,4.82,645.98,0.28,10.55
2000-03-24,1331.89,1303.73,1359.69,1289.66,18366.0,247997.0,-1.09,50.28,4.77,638.66,0.28,10.54
2000-03-27,1306.9,1342.66,1359.56,1293.92,17574.0,224038.0,2.99,51.73,4.92,658.41,0.27,10.51
2000-03-28,1355.49,1354.17,1387.42,1317.51,29566.0,314031.0,0.86,52.2,4.96,663.72,0.27,10.52
2000-03-29,1357.06,1346.99,1380.81,1313.44,22065.0,239988.0,-0.53,51.84,4.91,660.21,0.27,10.56
2000-03-30,1353.15,1366.59,1382.72,1330.14,15687.0,195519.0,1.46,52.61,4.98,669.78,0.27,10.56
2000-03-31,1370.66,1357.69,1394.33,1332.01,17704.0,218025.0,-0.65,52.2,4.94,665.33,0.27,10.57
2000-04-03,1359.38,1357.59,1392.8,1333.72,15232.0,195925.0,-0.01,52.17,4.94,665.23,0.27,10.56
2000-04-04,1349.88,1336.62,1372.79,1311.92,14866.0,187511.0,-1.55,51.34,4.78,657.22,0.27,10.74
2000-04-05,1335.07,1351.59,1374.19,1315.57,13035.0,158496.0,1.12,51.97,4.84,664.64,0.27,10.74
2000-04-06,1358.65,1384.33,1399.24,1343.73,15799.0,196384.0,2.42,53.2,4.96,680.81,0.26,10.73
2000-04-07,1391.34,1392.92,1418.32,1364.63,14896.0,178023.0,0.62,53.61,5.0,685.02,0.26,10.72
2000-04-10,1402.08,1404.81,1430.11,1377.19,17627.0,208802.0,0.85,54.15,5.05,690.66,0.26,10.72
2000-04-11,1405.48,1391.99,1424.85,1370.22,14963.0,181812.0,-0.91,53.64,5.0,684.55,0.26,10.73
2000-04-12,1394.05,1380.04,1414.6,1353.33,11638.0,151301.0,-0.86,53.15,5.03,679.0,0.26,10.57
2000-04-13,1380.01,1387.83,1408.6,1361.39,12526.0,160076.0,0.56,53.17,5.06,680.24,0.29,10.51
2000-04-14,1389.59,1388.8,1415.93,1364.12,14995.0,192237.0,0.07,53.38,5.08,682.86,0.29,10.51
2000-04-17,1381.38,1349.14,1395.52,1327.14,16330.0,200947.0,-2.86,51.79,4.96,663.22,0.3,10.44
2000-04-18,1357.8,1361.48,1387.6,1327.88,5857.0,75901.0,0.91,52.48,5.01,390.67,0.51,10.48
2000-04-19,1380.28,1391.17,1415.25,1364.53,15501.0,200959.0,2.18,53.09,5.09,693.0,0.29,10.43
2000-04-20,1393.51,1398.2,1423.14,1374.37,14178.0,180467.0,0.51,53.38,5.16,696.48,0.29,10.34
2000-04-21,1401.98,1390.09,1427.34,1369.84,14614.0,189361.0,-0.58,53.02,5.13,693.02,0.29,10.34
