,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300011.XSHE,鼎汉技术,0.2306,25.13,10.1993,40.5863,电气设备I,2009-10-30
300222.XSHE,科大智能,11.4383,43.9304,17.7986,40.5155,机械设备I,2011-05-25
300271.XSHE,华宇软件,8.7337,41.2247,16.6107,40.293,计算机I,2011-10-26
300043.XSHE,星辉娱乐,7.1762,27.6725,11.0777,40.0313,传媒I,2010-01-20
300035.XSHE,中科电气,2.1881,11.8389,4.7288,39.9433,化工I,2009-12-25
300287.XSHE,飞利信,5.8578,60.0873,23.9783,39.9058,计算机I,2012-02-01
300164.XSHE,通源石油,4.8222,22.1238,8.7553,39.574,采掘I,2011-01-13
300310.XSHE,宜通世纪,-10.5388,29.4425,11.4621,38.9305,通信I,2012-04-25
300439.XSHE,美康生物,7.5982,22.3142,8.5043,38.1115,医药生物I,2015-04-22
300441.XSHE,鲍斯股份,5.8227,17.826,6.7742,38.0017,机械设备I,2015-04-23
300437.XSHE,清水源,5.4251,15.6084,5.9143,37.8917,化工I,2015-04-23
300308.XSHE,中际旭创,16.457,45.3781,17.1676,37.8324,通信I,2012-04-10
300036.XSHE,超图软件,6.5103,18.9077,7.0727,37.4065,计算机I,2009-12-25
300290.XSHE,荣科科技,0.239,8.8284,3.2995,37.3738,计算机I,2012-02-16
300015.XSHE,爱尔眼科,40.6132,58.4969,21.6518,37.0136,医药生物I,2009-10-30
300160.XSHE,秀强股份,2.1239,12.8768,4.7518,36.9015,家用电器I,2011-01-13
300077.XSHE,国民技术,20.4991,29.4115,10.8223,36.7963,电子I,2010-04-30
300349.XSHE,金卡智能,13.7148,33.6148,12.312,36.6269,机械设备I,2012-08-17
300379.XSHE,东方通,2.0857,14.2944,5.2218,36.5304,计算机I,2014-01-28
300324.XSHE,旋极信息,11.0956,53.2143,19.4198,36.4936,计算机I,2012-06-08
300150.XSHE,世纪瑞尔,-0.0485,20.4977,7.3275,35.7481,计算机I,2010-12-22
300008.XSHE,天海防务,-136.7037,13.0986,4.67,35.653,国防军工I,2009-10-30
300120.XSHE,经纬辉开,3.9345,19.4571,6.9174,35.552,电子I,2010-09-17
300383.XSHE,光环新网,18.305,67.4835,23.979,35.5332,通信I,2014-01-29
300046.XSHE,台基股份,2.7654,8.8472,3.1342,35.4262,电子I,2010-01-20
300296.XSHE,利亚德,36.0032,76.1444,26.8937,35.3194,电子I,2012-03-15
300109.XSHE,新开源,2.5035,12.6618,4.4213,34.918,化工I,2010-08-25
300456.XSHE,耐威科技,3.0521,18.5896,6.4834,34.8762,国防军工I,2015-05-14
300230.XSHE,永利股份,14.2717,31.5476,10.9639,34.7535,化工I,2011-06-15
300219.XSHE,鸿利智汇,11.7299,30.8945,10.7308,34.7335,电子I,2011-05-18
300633.XSHE,开立医疗,5.2451,12.2694,4.2442,34.5918,医药生物I,2017-04-06
300364.XSHE,中文在线,-1.0123,37.4407,12.8844,34.4129,传媒I,2015-01-21
300248.XSHE,新开普,2.871,13.7877,4.6958,34.0582,计算机I,2011-07-29
300018.XSHE,中元股份,-0.1125,15.1259,5.1494,34.0439,电气设备I,2009-10-30
300229.XSHE,拓尔思,3.4833,18.9212,6.4364,34.0167,计算机I,2011-06-15
300180.XSHE,华峰超纤,7.2412,51.1627,17.3315,33.8753,化工I,2011-02-22
300450.XSHE,先导智能,22.0166,32.4034,10.9234,33.7106,机械设备I,2015-05-18
300100.XSHE,双林股份,2.2952,31.2259,10.5019,33.6321,汽车I,2010-08-06
300279.XSHE,和晶科技,-9.0114,16.7939,5.6461,33.6201,电子I,2011-12-29
300347.XSHE,泰格医药,10.8274,31.3956,10.5189,33.5044,医药生物I,2012-08-17
300157.XSHE,恒泰艾普,-0.8432,36.9781,12.3209,33.3194,采掘I,2011-01-07
300099.XSHE,精准信息,-0.184,17.2345,5.6921,33.0275,机械设备I,2010-08-06
300420.XSHE,五洋停车,3.325,15.2642,5.0212,32.8954,机械设备I,2015-02-17
300332.XSHE,天壕环境,-2.0565,35.6967,11.7001,32.7764,公用事业I,2012-06-28
300430.XSHE,诚益通,1.2708,16.0285,5.2285,32.62,机械设备I,2015-03-19
300144.XSHE,宋城演艺,47.9498,85.466,27.869,32.6083,休闲服务I,2010-12-09
300266.XSHE,兴源环境,0.3543,41.6738,13.5364,32.4817,公用事业I,2011-09-27
300291.XSHE,华录百纳,-7.9028,60.5242,19.6578,32.4792,传媒I,2012-02-09
300306.XSHE,远方信息,2.7803,19.095,6.1693,32.3085,机械设备I,2012-03-29
300331.XSHE,苏大维格,2.2735,14.4309,4.6506,32.2264,电子I,2012-06-28
300113.XSHE,顺网科技,20.7147,34.1271,10.9929,32.2116,传媒I,2010-08-27
300447.XSHE,全信股份,6.588,16.2739,5.2077,32.0005,电气设备I,2015-04-22
300146.XSHE,汤臣倍健,31.7998,70.5494,22.3844,31.7288,食品饮料I,2010-12-15
300078.XSHE,思创医惠,3.4531,22.0385,6.9608,31.5845,电子I,2010-04-30
300013.XSHE,新宁物流,0.8618,14.1879,4.4766,31.552,交通运输I,2009-10-30
300165.XSHE,天瑞仪器,2.7709,16.7497,5.2619,31.4147,机械设备I,2011-01-25
300128.XSHE,锦富技术,-1.9167,21.2847,6.6721,31.347,电子I,2010-10-13
300500.XSHE,启迪设计,1.8154,12.6574,3.943,31.152,建筑装饰I,2016-02-04
300003.XSHE,乐普医疗,33.2492,71.1333,22.1379,31.1217,医药生物I,2009-10-30
300293.XSHE,蓝英装备,0.3245,9.7501,3.0251,31.0258,机械设备I,2012-03-08
300194.XSHE,福安药业,5.6205,42.8523,13.1545,30.6972,医药生物I,2011-03-22
300098.XSHE,高新兴,14.8926,55.6932,16.9972,30.5194,通信I,2010-07-28
300518.XSHE,盛讯达,0.3815,11.6726,3.5575,30.4773,传媒I,2016-06-24
300434.XSHE,金石亚药,1.649,25.9607,7.8747,30.3331,医药生物I,2015-04-24
300336.XSHE,新文化,6.5273,32.1196,9.7327,30.3014,传媒I,2012-07-10
